Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
20-09-2016,125.44,125.59,125.17,125.31,5672000,125.44,9.5757059,126.27,127.19,NA,65.6561321,2016,9,1,3
21-09-2016,127.27,127.42,125.96,126.33,13646400,127.27,145.88601450000002,126.24,127.2,NA,74.2544724,2016,9,2,3
22-09-2016,127.57,128.2,127.5,127.57,15188000,127.57,23.5721741,126.31,127.18,NA,69.775136,2016,9,3,3
23-09-2016,127.65,127.86,127.43,127.6,7702300,127.65,6.2712104,126.38,127.19,NA,69.699769,2016,9,4,3
26-09-2016,127.55,128.04,127.42,127.96,5842700,127.55,-7.8338012,126.45,127.2,NA,69.6170755,2016,9,0,3
27-09-2016,126.62,126.9,126.34,126.86,6220700,126.62,-72.91260550000001,126.47,127.19,NA,71.7147138,2016,9,1,3
28-09-2016,126.22,126.4,125.73,126.25,6757700,126.22,-31.590705800000002,126.53,127.17,NA,68.1167282,2016,9,2,3
29-09-2016,126.07,126.34,125.54,125.84,7448400,126.07,-11.8841328,126.59,127.19,NA,67.9843678,2016,9,3,3
30-09-2016,125.64,126.55,125.24,126.52,11204300,125.64,-34.108059499999996,126.61,127.15,NA,67.99050629999999,2016,9,4,3
03-10-2016,125.32,125.46,124.9,125.32,9044100,125.32,-25.4695715,126.55,127.13,NA,63.9243896,2016,10,0,4
04-10-2016,120.97,123.18,120.86,123.16,24372700,120.97,-347.1112739,126.16,127.04,NA,89.2348167,2016,10,1,4
05-10-2016,120.78,121.59,120.4,121.33,14718100,120.78,-15.7065751,125.79,126.94,NA,89.2911441,2016,10,2,4
06-10-2016,119.66,119.98,119.24,119.69,17917700,119.66,-92.73018119999999,125.39,126.77,NA,90.2742401,2016,10,3,4
07-10-2016,119.74,120.58,118.42,120.49,17907300,119.74,6.685124500000001,125.04,126.61,NA,90.2848679,2016,10,4,4
10-10-2016,120.16,120.42,119.74,119.74,4514400,120.16,35.0764829,124.72,126.44,NA,91.3367195,2016,10,0,4
11-10-2016,119.55,120.16,119.53,119.92,6065300,119.55,-50.765695099999995,124.41,126.24,NA,91.0368802,2016,10,1,4
12-10-2016,119.74,120.07,119.29,119.72,4848600,119.74,15.8924975,124.09,126.03,NA,90.5025437,2016,10,2,4
13-10-2016,120.03,120.42,119.8,120.0,7184600,120.03,24.2192184,123.82,125.84,NA,90.6857395,2016,10,3,4
14-10-2016,119.36,120.16,119.29,119.37,6577300,119.36,-55.8192265,123.53,125.63,NA,91.01270889999999,2016,10,4,4
17-10-2016,119.68,119.92,119.58,119.7,4777900,119.68,26.8096258,123.25,125.47,NA,91.1745955,2016,10,0,4
18-10-2016,120.42,120.64,119.82,120.08,4919700,120.42,61.8313721,123.0,125.33,NA,92.8779291,2016,10,1,4
19-10-2016,121.11,121.46,120.89,121.13,6019800,121.11,57.2996555,122.69,125.2,NA,86.4405294,2016,10,2,4
20-10-2016,120.74,121.59,120.63,121.39,6496700,120.74,-30.5509656,122.35,125.04,NA,85.703249,2016,10,3,4
21-10-2016,120.83,120.93,120.55,120.9,6707800,120.83,7.4543622,122.01,124.9,NA,85.7279155,2016,10,4,4
24-10-2016,120.56,121.3,120.16,121.28,5481100,120.56,-22.3457973,121.66,124.77,NA,85.6179582,2016,10,0,4
25-10-2016,121.47,121.76,120.86,120.89,6141100,121.47,75.48139350000001,121.4,124.64,NA,87.9009794,2016,10,1,4
26-10-2016,120.79,121.53,120.61,121.37,3905900,120.79,-55.9809252,121.13,124.48,NA,88.233457,2016,10,2,4
27-10-2016,121.01,121.18,120.75,121.11,4336000,121.01,18.2135292,120.88,124.34,NA,88.663262,2016,10,3,4
28-10-2016,121.58,122.48,120.81,121.2,11639900,121.58,47.1035191,120.68,124.18,NA,89.838915,2016,10,4,4
